student_id,attendance_rate,average_grade,late_submissions,study_hours_per_week,risk_status
S001,98,91,0,14,Low Risk
S002,95,87,1,12,Low Risk
S003,92,84,1,10,Low Risk
S004,90,82,2,9,Low Risk
S005,88,79,2,8,Low Risk
S006,86,76,3,7,At Risk
S007,84,74,3,6,At Risk
S008,82,72,4,6,At Risk
S009,80,70,4,5,At Risk
S010,78,68,5,5,At Risk
S011,96,89,0,13,Low Risk
S012,94,86,1,11,Low Risk
S013,91,83,1,10,Low Risk
S014,89,80,2,9,Low Risk
S015,87,78,2,8,Low Risk
S016,85,75,3,7,At Risk
S017,83,73,4,6,At Risk
S018,81,71,4,5,At Risk
S019,79,69,5,4,At Risk
S020,77,66,6,4,At Risk
S021,97,90,0,15,Low Risk
S022,93,85,1,11,Low Risk
S023,90,81,2,9,Low Risk
S024,88,77,2,8,Low Risk
S025,86,74,3,7,At Risk
S026,84,72,3,6,At Risk
S027,82,70,4,5,At Risk
S028,80,68,5,5,At Risk
S029,76,65,6,3,At Risk
S030,74,62,7,3,At Risk
